date_key,customer_key,product_key,region_key,sales_amount,profit,quantity,discount,sales_id
1,1,1,1,261.96,41.9136,2,0.0,1
1,1,1,294,261.96,41.9136,2,0.0,2
1,1,2,1,731.94,219.582,3,0.0,3
1,1,2,294,731.94,219.582,3,0.0,4
2,2,3,2,14.62,6.8714,2,0.0,5
3,3,4,3,957.5775,-383.031,5,0.45,6
3,3,5,3,22.368,2.5164,2,0.2,7
4,4,6,2,48.86,14.1694,7,0.0,8
4,4,7,2,7.28,1.9656,4,0.0,9
4,4,8,2,907.152,90.7152,6,0.2,10
4,4,9,2,18.504,5.7825,3,0.2,11
4,4,10,2,114.9,34.47,5,0.0,12
4,4,11,2,1706.184,85.3092,9,0.2,13
4,4,12,2,911.424,68.3568,4,0.2,14
5,5,13,4,15.552,5.4432,3,0.2,15
5,5,13,121,15.552,5.4432,3,0.2,16
5,5,13,183,15.552,5.4432,3,0.2,17
6,6,14,5,407.976,132.5922,3,0.2,18
7,7,15,6,68.81,-123.858,5,0.8,19
7,7,16,6,2.544,-3.816,3,0.8,20
8,8,17,7,665.88,13.3176,6,0.0,21
9,9,18,8,55.5,9.99,2,0.0,22
10,10,19,9,8.56,2.4824,2,0.0,23
10,10,20,9,213.48,16.011,3,0.2,24
10,10,21,9,22.72,7.384,4,0.2,25
11,11,22,10,19.46,5.0596,7,0.0,26
11,11,23,10,60.34,15.6884,7,0.0,27
12,12,24,11,71.372,-1.0196,2,0.3,28
13,13,4,12,1044.63,240.2649,3,0.0,29
14,14,25,2,11.648,4.2224,2,0.2,30
14,14,26,2,90.57,11.7741,3,0.0,31
15,15,27,11,3083.43,-1665.0522,7,0.5,32
15,15,28,11,9.618,-7.0532,2,0.7,33
15,15,29,11,124.2,15.525,3,0.2,34
15,15,1339,11,124.2,15.525,3,0.2,35
15,15,30,11,3.264,1.1016,2,0.2,36
15,15,31,11,86.304,9.7092,6,0.2,37
15,15,32,11,6.858,-5.715,6,0.7,38
15,15,33,11,15.76,3.546,2,0.2,39
16,16,34,13,29.472,9.9468,3,0.2,40
17,17,35,14,1097.544,123.4737,7,0.2,41
17,17,36,14,190.92,-147.963,5,0.6,42
18,18,37,13,113.328,35.415,9,0.2,43
18,18,38,13,532.3992,-46.9764,3,0.32,44
18,18,39,13,212.058,-15.147,3,0.3,45
18,18,40,13,371.168,41.7564,4,0.2,46
19,19,41,15,147.168,16.5564,4,0.2,47
20,20,42,2,77.88,3.894,2,0.0,48
21,21,43,16,95.616,9.5616,2,0.2,49
22,22,44,17,45.98,19.7714,2,0.0,50
22,22,45,17,17.46,8.2062,2,0.0,51
23,23,46,18,211.96,8.4784,4,0.0,52
24,24,47,19,45.0,4.95,3,0.0,53
24,24,47,328,45.0,4.95,3,0.0,54
24,24,48,19,21.8,6.104,2,0.0,55
24,24,48,328,21.8,6.104,2,0.0,56
25,25,49,20,38.22,17.9634,6,0.0,57
25,25,50,20,75.18,35.3346,6,0.0,58
25,25,51,20,6.16,2.9568,2,0.0,59
25,25,52,20,89.99,17.0981,1,0.0,60
26,26,53,21,15.26,6.2566,7,0.0,61
26,26,54,21,1029.95,298.6855,5,0.0,62
27,27,55,22,208.56,52.14,6,0.0,63
27,27,55,385,208.56,52.14,6,0.0,64
27,27,56,22,32.4,15.552,5,0.0,65
27,27,56,385,32.4,15.552,5,0.0,66
27,27,57,22,319.41,7.098,5,0.1,67
27,27,57,385,319.41,7.098,5,0.1,68
27,27,58,22,14.56,6.9888,2,0.0,69
27,27,58,385,14.56,6.9888,2,0.0,70
27,27,47,22,30.0,3.3,2,0.0,71
27,27,47,385,30.0,3.3,2,0.0,72
27,27,59,22,48.48,16.362,4,0.2,73
27,27,59,385,48.48,16.362,4,0.2,74
27,27,60,22,1.68,0.84,1,0.0,75
27,27,60,385,1.68,0.84,1,0.0,76
28,28,61,2,13.98,6.1512,2,0.0,77
28,28,62,2,25.824,9.3612,6,0.2,78
28,28,63,2,146.73,68.9631,3,0.0,79
28,28,64,2,79.76,22.3328,4,0.0,80
29,29,65,23,213.115,-15.2225,5,0.3,81
29,29,125,23,213.115,-15.2225,5,0.3,82
30,30,66,24,1113.024,111.3024,8,0.2,83
30,30,67,24,167.968,62.988,4,0.2,84
31,31,68,25,75.88,35.6636,2,0.0,85
31,31,68,137,75.88,35.6636,2,0.0,86
31,31,68,303,75.88,35.6636,2,0.0,87
31,31,68,307,75.88,35.6636,2,0.0,88
32,32,69,21,4.616,1.731,1,0.2,89
32,32,1487,21,4.616,1.731,1,0.2,90
33,15,70,26,19.05,8.763,3,0.0,91
33,15,70,113,19.05,8.763,3,0.0,92
33,15,70,254,19.05,8.763,3,0.0,93
34,33,71,27,831.936,-114.3912,8,0.2,94
34,33,72,27,97.04,1.213,2,0.2,95
34,33,73,27,72.784,-18.196,1,0.2,96
35,34,74,13,1.248,-1.9344,3,0.8,97
35,34,75,13,9.708,-5.8248,3,0.6,98
35,34,76,13,27.24,2.724,3,0.2,99
36,33,77,13,19.3,-14.475,5,0.6,100
2,35,78,28,208.16,56.2032,1,0.0,101
2,35,78,54,208.16,56.2032,1,0.0,102
2,35,79,28,16.74,8.0352,3,0.0,103
2,35,79,54,16.74,8.0352,3,0.0,104
37,36,80,9,14.9,4.172,5,0.0,105
37,36,81,9,21.39,6.2031,1,0.0,106
38,37,82,29,200.984,62.8075,7,0.2,107
39,38,83,23,230.376,-48.9549,3,0.2,108
40,23,84,30,301.96,33.2156,2,0.0,109
40,23,84,70,301.96,33.2156,2,0.0,110
40,23,84,184,301.96,33.2156,2,0.0,111
40,23,84,312,301.96,33.2156,2,0.0,112
41,39,85,31,19.99,6.7966,1,0.0,113
41,39,85,126,19.99,6.7966,1,0.0,114
41,39,86,31,6.16,2.9568,2,0.0,115
41,39,86,126,6.16,2.9568,2,0.0,116
42,40,87,13,158.368,13.8572,7,0.2,117
43,41,88,2,20.1,6.633,3,0.0,118
43,41,41,2,73.584,8.2782,2,0.2,119
43,41,89,2,6.48,3.1104,1,0.0,120
44,42,90,32,12.96,6.2208,2,0.0,121
44,42,91,32,53.34,16.5354,3,0.0,122
44,42,92,32,32.96,16.1504,2,0.0,123
45,43,93,33,5.682,-3.788,1,0.7,124
46,44,94,21,96.53,40.5426,7,0.0,125
47,45,95,9,51.312,17.9592,3,0.2,126
48,46,96,34,77.88,22.5852,6,0.0,127
49,47,97,23,64.624,22.6184,7,0.2,128
49,47,98,23,95.976,-10.7973,3,0.2,129
49,47,99,23,1.788,-3.0396,3,0.8,130
50,48,100,31,23.92,11.7208,4,0.0,131
50,48,100,126,23.92,11.7208,4,0.0,132
51,49,101,35,238.896,-26.8758,6,0.2,133
51,49,101,151,238.896,-26.8758,6,0.2,134
51,49,102,35,102.36,-3.8385,3,0.2,135
51,49,102,151,102.36,-3.8385,3,0.2,136
51,49,103,35,36.882,-25.8174,3,0.7,137
51,49,103,151,36.882,-25.8174,3,0.7,138
52,50,104,36,74.112,17.6016,8,0.2,139
52,50,105,36,27.992,2.0994,1,0.2,140
52,50,106,36,3.304,1.0738,1,0.2,141
53,51,107,37,339.96,67.992,5,0.2,142
54,52,108,21,41.96,10.9096,2,0.0,143
55,53,109,38,75.96,22.788,2,0.0,144
55,53,110,38,27.24,13.3476,6,0.0,145
56,54,111,39,40.096,14.5348,14,0.2,146
56,54,111,96,40.096,14.5348,14,0.2,147
56,54,111,118,40.096,14.5348,14,0.2,148
56,54,112,39,4.72,1.652,2,0.2,149
56,54,112,96,4.72,1.652,2,0.2,150
56,54,112,118,4.72,1.652,2,0.2,151
56,54,113,39,23.976,7.4925,3,0.2,152
56,54,113,96,23.976,7.4925,3,0.2,153
56,54,113,118,23.976,7.4925,3,0.2,154
56,54,114,39,130.464,44.0316,6,0.2,155
56,54,114,96,130.464,44.0316,6,0.2,156
56,54,114,118,130.464,44.0316,6,0.2,157
57,55,115,5,787.53,165.3813,3,0.0,158
58,56,116,40,157.794,-115.7156,1,0.7,159
58,56,116,293,157.794,-115.7156,1,0.7,160
2,57,117,41,47.04,18.3456,3,0.0,161
2,57,117,108,47.04,18.3456,3,0.0,162
2,57,9,41,30.84,13.878,4,0.0,163
2,57,9,108,30.84,13.878,4,0.0,164
2,57,118,41,226.56,63.4368,6,0.0,165
2,57,118,108,226.56,63.4368,6,0.0,166
2,57,119,41,115.02,51.759,9,0.0,167
2,57,119,108,115.02,51.759,9,0.0,168
2,57,120,41,68.04,19.7316,7,0.0,169
2,57,120,108,68.04,19.7316,7,0.0,170
59,58,121,13,600.558,-8.5794,3,0.3,171
60,59,122,42,617.7,-407.682,6,0.5,172
60,59,122,436,617.7,-407.682,6,0.5,173
61,60,123,43,2.388,-1.8308,2,0.7,174
61,60,124,43,243.992,30.499,7,0.2,175
62,61,65,2,81.424,-9.1602,2,0.2,176
62,61,125,2,81.424,-9.1602,2,0.2,177
62,61,126,2,238.56,26.2416,3,0.0,178
63,62,127,39,59.97,-11.994,5,0.4,179
63,62,127,96,59.97,-11.994,5,0.4,180
63,62,127,118,59.97,-11.994,5,0.4,181
63,62,128,39,78.304,29.364,2,0.2,182
63,62,128,96,78.304,29.364,2,0.2,183
63,62,128,118,78.304,29.364,2,0.2,184
63,62,568,39,78.304,29.364,2,0.2,185
63,62,568,96,78.304,29.364,2,0.2,186
63,62,568,118,78.304,29.364,2,0.2,187
63,62,129,39,21.456,6.9732,9,0.2,188
63,62,129,96,21.456,6.9732,9,0.2,189
63,62,129,118,21.456,6.9732,9,0.2,190
64,63,130,44,20.04,9.6192,3,0.0,191
64,63,130,500,20.04,9.6192,3,0.0,192
64,63,130,503,20.04,9.6192,3,0.0,193
64,63,131,44,35.44,16.6568,1,0.0,194
64,63,131,500,35.44,16.6568,1,0.0,195
64,63,131,503,35.44,16.6568,1,0.0,196
64,63,132,44,11.52,3.456,4,0.0,197
64,63,132,500,11.52,3.456,4,0.0,198
64,63,132,503,11.52,3.456,4,0.0,199
64,63,1580,44,11.52,3.456,4,0.0,200
64,63,1580,500,11.52,3.456,4,0.0,201
64,63,1580,503,11.52,3.456,4,0.0,202
64,63,133,44,4.02,1.9698,2,0.0,203
64,63,133,500,4.02,1.9698,2,0.0,204
64,63,133,503,4.02,1.9698,2,0.0,205
64,63,134,44,76.176,26.6616,3,0.2,206
64,63,134,500,76.176,26.6616,3,0.2,207
64,63,134,503,76.176,26.6616,3,0.2,208
64,63,135,44,65.88,18.4464,6,0.0,209
64,63,135,500,65.88,18.4464,6,0.0,210
64,63,135,503,65.88,18.4464,6,0.0,211
64,63,51,44,43.12,20.6976,14,0.0,212
64,63,51,500,43.12,20.6976,14,0.0,213
64,63,51,503,43.12,20.6976,14,0.0,214
65,64,29,11,82.8,10.35,2,0.2,215
65,64,1339,11,82.8,10.35,2,0.2,216
66,65,136,9,8.82,2.3814,3,0.0,217
66,65,137,9,10.86,5.1042,3,0.0,218
66,65,138,9,143.7,68.976,3,0.0,219
67,66,139,45,839.43,218.2518,3,0.0,220
68,67,83,46,671.93,20.1579,7,0.0,221
68,67,83,75,671.93,20.1579,7,0.0,222
69,68,140,47,93.888,12.9096,4,0.2,223
69,68,140,259,93.888,12.9096,4,0.2,224
6,69,141,48,384.45,103.8015,11,0.0,225
6,69,141,64,384.45,103.8015,11,0.0,226
6,69,141,101,384.45,103.8015,11,0.0,227
6,69,142,48,149.97,5.9988,3,0.0,228
6,69,142,64,149.97,5.9988,3,0.0,229
6,69,142,101,149.97,5.9988,3,0.0,230
6,69,2,48,1951.84,585.552,8,0.0,231
